DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Georges Niang,Forward,79,0.553,0.375,0.763,5.8,0.583,0.296,0.264,4.6,14.6,20,1.3,1.6,14.3,26.9
Glen Rice,Guard-Forward,78,0.493,0.346,0.611,5.3,0.52,0.398,0.29,7.5,15.6,18.8,3,2.4,16.4,23
Glenn Robinson III,Forward,78,0.603,0.313,0.718,2.5,0.593,0.269,0.331,7,12,6.7,1.9,0.9,9.2,18.6
Gorgui Dieng,Center,82,0.546,0.333,0.64,6,0.568,0.005,0.439,12.4,20.9,9,2.2,10.6,18.1,16.4
Grant Jerrett,Forward,82,0.413,0.405,0.818,4.3,0.535,0.513,0.143,7.6,17.9,5.7,1.6,5.8,10.4,15.6
Grant Riller,Guard,74,0.593,0.356,0.796,3.6,0.616,0.31,0.391,1.8,10.3,20.7,2.3,0.9,12.5,29
Grant Williams,Forward,78,0.54,0.291,0.758,6.4,0.591,0.097,0.621,9.7,15.3,14.8,1.7,6,13.7,26.5
Grayson Allen,Guard,76,0.49,0.38,0.834,4.3,0.591,0.544,0.419,2.3,10.1,19.6,2.1,0.3,12.4,24.1
Hamidou Diallo,Guard,77,0.458,0.338,0.616,6,0.498,0.246,0.399,4.2,11.5,9.5,1.7,1.6,12,22.6
Harrison Barnes,Forward,80,0.469,0.349,0.734,3.5,0.524,0.326,0.313,7.1,12.3,8.4,1.7,1.3,11.1,27.3
Harry Giles III,Forward-Center,83,0.577,NA,0.5,11.1,0.57,0,0.308,16.4,21.6,5.6,1.7,5.3,16.8,17.9
Henry Ellenson,Forward-Center,82,0.495,0.288,0.749,4.2,0.534,0.239,0.439,7.8,24.2,11,1.4,4.4,12.9,26.7
Ignas Brazdeikis,Forward,78,0.5,0.392,0.773,4.4,0.573,0.351,0.369,4.6,16.1,6.1,1.5,1.7,8.8,26.1
Ike Anigbogu,Center,82,0.564,NA,0.535,10.3,0.564,0,0.426,13.2,19.9,2.3,0.7,8.8,16.5,18.4
Iman Shumpert,Guard,77,0.45,0.305,0.738,4.7,0.503,0.373,0.39,4.6,12.9,26.5,4.3,0.6,19.5,23.9
Immanuel Quickley,Guard,74,0.409,0.397,0.895,4,0.578,0.484,0.459,1.4,11.2,11.3,1.5,0.3,12.2,20.3
Isaac Okoro,Forward-Guard,77,0.607,0.286,0.672,4.9,0.587,0.288,0.551,6.4,8.8,13.1,1.7,3.1,15.2,19.6
